Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ELPASO_NG_44,80086,GAS,1109.8,332.94,0.0
ELPASO_NG_45,80050,GAS,19.6,5.88,0.0
TACOMA_NG,10344,GAS,177.8,53.34,0.0
SEATTLE_NG,10228,GAS,15.0,4.5,0.0
CHEHALIS_NG,10025,GAS,698.0,209.4,0.0
BELLINGHAM_NG,10750,GAS,176.4,52.92,0.0
BLAINE_NG,10750,GAS,454.7,136.41,0.0
BURLINGTON_NG,10750,GAS,376.0,112.8,0.0
SUMAS_NG,10750,GAS,125.5,37.65,0.0
TACOMA_NG_46,10022,GAS,318.3,95.49,0.0
ELMA_NG,10022,GAS,697.8,209.34,0.0
WRIGHT_NG,70095,GAS,22.5,6.75,0.0
GLENROCK_C,70095,COAL,922.2,276.66,0.0
WRIGHT_C,70095,COAL,483.7,145.11,0.0
GILLETTE_C,70095,COAL,833.3,249.99,0.0
GILLETTE_NG,70095,GAS,40.0,12.0,0.0
GILLETTE_NG_47,70063,GAS,45.0,13.5,0.0
